frame,card_name,stand_name,description,card_number
Card Darby - carte réelle,Daniel J. Darby,Osiris,"Distribue 2 gorgées à la personne de ton choix.
Demande lui: “Bluff ou pas ?”
Si il t’accuse de bluffer à tort… révèle la carte : il boit double.",003/100
Card Deux rats,"Le Rongé, Mushikui",Ratt,"Si Josuke a été joué prends toi un cul sec dans la gueule.
Sinon distribue du poppers.
Si il n’y a pas de pop distribue 3 gorgées.",052/100
Card Diavolol,Diavolo,King Crimson,"Distribue 3 gorgées à la personne de ton choix.
Demande lui: “Bluff ou pas ?”
Si il t’accuse de bluffer… révèle la carte : il en boit 6.",034/100
Card Doppio,Vinegar Doppio,Carte Bluff,"Fais comme si c’était Diavolo. Tu dois distribuer 3 gorgées comme si tu étais sûr de toi.
Demande lui: “Bluff ou pas ?”
Si il dit « Bluff ! », il a gagné : tu bois 6 gorgées. Sinon… c’est lui qui trinque.",035/100
Card Emporio,Emporio Alniño,Burning Down the House,"Tu peux réutiliser une de tes carte déjà jouée comme si tu l’avais._x000d_
“Je garde tout ce qui peut nous sauver dans ma chambre secrète.”
Pucci annule cet effet.",063/100
Card Enigma,Terunosuke Miyamoto,Enigma,"Pose la carte face cachée devant toi-même._x000d_
À tout moment, tu peux la révéler et dire :_x000d_
“Je me replie.”_x000d_Tu ignores le prochain effet qui devait t’atteindre, quel qu’il soit._x000d_
Mais au tour suivant, tu doubles le prochain que tu subis.",054/100
Card Enrico Pucci full art,,,"Toutes les cartes gardées par les joueurs deviennent inutilisables._x000d_
Tu joues deux cartes d’un coup ce tour-ci. Puis, tu sautes ton prochain tour.
“Le monde a déjà accéléré. Tes reliques n’ont plus aucun sens.”",
Card Forever,Forever,Strength,"Choisis un joueur : il doit boire tant que tu peux le regarder fixement sans cligner.
Pervert de singe là.
Si Jotaro est en jeu : il t’éteint immédiatement (bois un cul sec).",064/100
Card Forever 2,Forever,Strength,"Fais tomber un objet exprès. Si quelqu’un le ramasse, il boit 3. Sinon, c’est toi._x000d_
“Ce singe est trop malin.”
Si Jotaro a été joué, tu prends un petit coup de Star Platinum (3 gorgées direct).",066/100
Card Fugo,Fugo,Purple Haze,"Toi et les deux joueurs à côté de toi buvez 4 gorgées chacun._x000d_
Personne n’est à l’abri. Pas même toi.
Purple Haze est incontrôlable ! Tu peux récupérer la puff.",036/100
Card Funny valentine,Funny Valentine,dirty deeds done dirt cheap,"Tu désignes un joueur :_x000d_Il doit donner sa prochaine carte à un joueur de ton choix,_x000d_
Et boire un cul sec pour valider “le transfert dimensionnel”.
Si Gyro Zeppeli est en jeu : tu lui distribue un cul sec. Force à lui.",019/100
Card Funny valentine 2,Funny Valentine,D4C : Love Train,"Tous les effets négatifs qui devaient t’atteindre ce tour-ci sont redirigés vers un autre joueur de ton choix._x000d_Et ça ne s’arrête pas là : il doit dire “Vive l’Amérique” à chaque tour ou boire 2 gorgées.
Si Lucy Steel a été jouée, elle peut te trahir et annuler l’effet. Sinon : tu es intouchable.",024/100
Card Giorno,Giorno Giovanna,Gold Experience,"Tu peux annuler toutes les gorgées d’un joueur — toi ou un autre — pendant ce tour.
La volonté dorée triomphe.
La carte est révélée à la fin du tour.",031/100
Card Giorno full art,,,"“ Je suis Giorno Giovanna, et j’ai un rêve ”
Jusqu’à ce que tu décides d’arrêter, tous les joueurs doivent faire des cul secs à chaque tour.
Le pouvoir absolu est entre tes mains.",
Card Giorno requiem,Giorno Giovanna,Gold Experience Requiem,"Rien ne peut t’atteindre : ce tour, toutes les gorgées lancées contre toi sont annulées.
La carte est révélée à la fin du tour.",027/100
Card Guido mista,Guido Mista,Sex Pistols,"Distribue 3 gorgées.
Jamais 4 !",006/100
Card Gyro Zeppeli,Gyro Zeppeli,Ball Breaker,"Fais tourner un objet sur la table. Celui sur qui il pointe distribue 5 gorgées._x000d_
Si Johnny est en jeu, vous pouvez relancer l’objet.
""Dis-lui d'aller manger de la merde, Johnny"".",020/100
Card Gyro Zeppeli 2,Gyro Zeppeli,Ball Breaker,"Choisis un joueur : il boit 3 gorgées et sa prochaine pioche perd son effet.
Si Johnny est en jeu : vous pouvez combiner vos effets pour viser deux joueurs en même temps._x000d_
Personne n’en réchappe.
Yare Yare Daze",048/100
Card Hol horse,Hol Horse,Emperor,"Choisis une cible. Tire avec ton doigt. La personne visée boit 3 gorgées, mais peut rediriger le tir sur un autre joueur en criant “C’est pas pour moi !” dans la seconde. Le tir ne peut pas revenir sur toi.
Si Polnareff est en jeu : vous buvez tous les deux 5 gorgées.",050/100
Card Hunged man,J. Geil,Hanged Man,"Tu ne peux plus viser directement pendant 3 tours._x000d_ À la place, choisis un “reflet” : c’est lui qui désignera tes cibles à ta place._x000d_
“Tu me regardes… mais c’est déjà trop tard.”_x000d_
Si Polnareff est en jeu : il intercepte le coup._x000d_Tu bois 5 gorgées sur-le-champ.",023/100
Card Iggy,Iggy,_x000d_The Fool,"Tu dois boire 2 gorgées, parce que t’as fait chier tout le monde._x000d_
Ensuite tu peux roter ou péter pour désigner un joueur :_x000d_Il boit 1 gorgée de dégoût.",069/100
Card Imunisé,Rule Breaker,Soft Pass,"Tu es immunisé à toutes les gorgées pendant ce tour._x000d_Choisis 2 autres joueurs à protéger._x000d_
Ceux qui leur en ont donné… se sont juste ridiculisés.
La carte est révélée à la fin du tour.",022/100
Card Johnny Joestar,Johnny Joestar,Tusk ACT4,"Vole n’importe quelle une carte déjà jouée dans la partie et rejoue son effet._x000d_
“Il n’y a de place que pour un seul DIO.”
Si DIO a été tiré : chifoumi, le perdant boit 6 gorgées.
Choisis un joueur :_x000d_Il ne peut pas te viser jusqu’à la fin de la partie._x000d_Et tu bois un shot de sa part.
Si Funny Valentine est en jeu : tu récupère sa carte.",039/100
Card Jojo dance,Mista Narancia Fugo,Jojo Dance Part 5,"Tu désigne deux autres joueurs et vous devez finir un verre plein.
Tu peux choisir le prochain son.",007/100
Card Jolyne,Jolyne Cujoh,Stone Free,"Tu dois dm une meuf choisie par les autres joueurs.
Son gros cul là !!! Tié vraiment un bon mon sang lâche rien.",029/100
Card Joseph,Joseph Joestar,Hermit Purple,"Le dernier joueur à crier “OH MY GOD” boit 3 gorgées.
Oh My GOOOOOD !",055/100
Card Josuke Higashikata,Josuke Higashikata,Crazy Diamond,Choisis un verre : tu le “répares” en le remplissant à ras bord.,005/100
Card Josuke Higashikata 2,Josuke Higashikata,Soft & Wet,"C’est 4 gorgées à distribuer.
Si Tooru est en jeu : il doit boire un cul sec et tooru n’as plus d’effet.",018/100
Card Josuke Higashikata full art,,,"Efface les effets que toi ou un autre joueur subit ce tour-ci._x000d_
Mais le prix reste à payer :_x000d_tous les joueurs doivent se répartir équitablement les gorgées qu’elle aurait provoquées.
Révélez votre carte à la fin du tour.",
Card Josuke Higashikata full art 2,,,"“ Je vais tout remettre en ordre… à ma façon. ”
Choisis 2 joueurs : Crazy Diamond les restaure à leur état d’origine… ils doivent tous les deux aller se faire vomir.
Killer Queen Bites the Dust est desactivé.",
Card Judgement,Cameo,Judgement,"Autrement dit, 3 gorgées à répartir comme tu veux !
Tu peux distribuer 3 vœux…",012/100
Card Justice,Enya Geil,Justice,"Si Hol Horse a déjà été joué dans la partie :_x000d_
Distribue 6 gorgées.
Et quoi qu’il arrive, tu bois 3 gorgées. Vieille peau.",051/100
Card Jésus-Christ,Jésus-Christ,Incarnation,"Les gars pitié arretez de boire.
Distribue jusqu’à 13 gorgées, maximum 4 par personne.
Oh les gars... ça va ?",038/100
Card Kakyoin,Noriaki Kakyoin,Hierophant Green,"Choisis un joueur : tu verras sa prochaine carte avant qu’il ne la joue._x000d_Tu peux ensuite choisir de :_x000d_ la laisser passer normalement. ou de la faire appliquer à un autre joueur.
Si Dio est en jeu : tu perds le contrôle et subis l’effet à la place.",044/100
Card Koichi Hirose,Koichi Hirose,Echoes,"T’es un minus, donc tu bois pas ce tour.
À la place, tu peux augmenter le son de l’enceinte.",008/100
Card La flèche,La Flèche,弓と矢,"Pioche 2 cartes, choisis celle que tu veux garder.
Remets l’autre en bas de la pile.",009/100
Card Lucy Steel,Lucy Steel,Ticket to Ride,"Tu peux détourner l’effet sur une cible de ton choix._x000d_
Tu n’es pas obligée de te justifier.
“Je suis désolée… mais c’est moi ou le monde.”",025/100
Card Made in heaven,Enrico Pucci,Made in Heaven,"Tous les joueurs doivent finir leur verre en entier.
Toutes les cartes en jeu perdent leurs effet.
Cette carte est surpuissante...",010/100
Card Mannish Boy,Mannish Boy,Death Thirteen,"Le plus gros fatigué de la table va se servir un café pendant le prochain tour.
Gros fatigué que tié va te servir un café va !",043/100
Card Metallica,Risotto Nero,Metallica,"Joue cette carte en secret. À la fin du tour, révèle-la : la personne qui a le plus bu rejoue sa carte.
“Tu ne m’as jamais vu venir.”
Si Bucciarati a été joué, il te perce à jour : effet annulé.",030/100
Card Nappau,Nappau,Motorsport Kevlar,"Ça te l’a fait comme Bill le Bottier.
P=3
Bois double P gorgées.",071/100
Card Narancia,Narancia Ghirga,Aerosmith,"Choisis 2 joueurs : chacun doit dire combien de gorgées il a bu depuis le début de la partie._x000d_ Celui qui a le plus boit 4 gorgées.
FILS DE CHIEN, BORDEL MAIS JE PISSE LE SANG à CAUSE DE CE CREVARD DE MES DEUX.",033/100
Card Narciso Annasui,Narciso Annasui,Diver Down,"Choisis un joueur._x000d_À la fin de ce tour, vous échangez vos gorgées._x000d_
Tu prends les siennes. Il prend les tiennes. Aucun refus.
Si tu bois, c’est pour moi. Et si je trinque, c’est toi qui payes.",068/100
Card Notorious big,Carne,Notorious B.I.G,"Tout le monde double et passe son nombre de gorgées à la personne à sa droite.
Révélez votre carte à la fin du tour.",046/100
Card Oingo,Frère Oingo,Khnum,"Si Boingo est en jeu : Tu distribue un cul sec.
Si Boingo n’est pas en jeu : Tu bois 3 gorgées.",041/100
Card Parties du Corps Saint 1,Bras Gauche,Parties du Corps Saint,"Tire deux cartes supplémentaires ce tour-ci.
Si quelqu’un t’en empêche : il boit 5. Et il le sait.",083/100
Card Parties du Corps Saint 2,Coeur,Parties du Corps Saint,"Tu as le droit divin de refuser n’importe quelle gorgée pendant un tour.
Considērae",084/100
Card Parties du Corps Saint 3,Deux yeux,Parties du Corps Saint,"Tu désignes un joueur qui devient aveugle. Quelqu’un doit lui lire les effets de sa prochaine carte. (Tromperie autorisée.)_x000d_
S’il refuse ou doute : il boit 4.
“Je vois tout, même l’invisible.”",085/100
Card Parties du Corps Saint 4,Bras Droit,Parties du Corps Saint,"Tire deux cartes supplémentaires ce tour-ci.
Si quelqu’un t’en empêche : il boit 5. Et il le sait.",086/100
Card Parties du Corps Saint 5,Deux Oreilles,Parties du Corps Saint,"Au prochain tour, choisis un joueur._x000d_
Tu boiras exactement le même nombre de gorgées que lui, quoi qu’il arrive.
“Tu ne bois pas seul. Je t’entends, et je te suis.”",087/100
Card Parties du Corps Saint 6,Torse,Parties du Corps Saint,"Protège-toi : tu peux annuler n’importe quel effet qu’on te lance._x000d_
“Mes os sont saints, intouchables.”_x000d_
Ne fonctionne pas contre les effets liés à DIO ou Funny Valentine.",088/100
Card Parties du Corps Saint 7,Tête,Parties du Corps Saint,"Choisis un joueur : tu pioches à sa place au prochain tour._x000d_Tu lis sa carte…_x000d_
Puis tu décides :_x000d_soit il la joue,_x000d_soit elle est défaussée sans effet.
Tu peux redistribuer ton pouvoir à un disciple qui prendra 2 gorgées à ta place.",090/100
Card Parties du Corps Saint 8,Deux Jambes,Parties du Corps Saint,"Tu es invincible pendant un tour. Aucun effet ne t’atteint. Mais à la fin du tour… tu bois 5._x000d_
“Le poids de la destinée est lourd à porter.”
Si tu possèdes 2 autres parties du corps, tu peux ignorer la pénalité.",091/100
Card Parties du Corps Saint 9,Colonne vertébrale,Parties du Corps Saint,"Choisis un joueur et parasite-le : tout ce qu’il boit, tu bois aussi (et inversement)._x000d_
L'effet dure jusqu’à la fin de ton prochain tour.
Dure jusqu’à la fin du prochain tour.",092/100
Card Pearl Jam,Tonio Trussardi,Pearl Jam,"La puff est à toi ! Revigore toi un peu avec la puff.
Bien mérité.",049/100
Card Polnareff,Jean-Pierre Polnareff,Silver Chariot,"Si Avdol a été joué, vous trinquez ensemble (3 gorgées chacun).
Si Avdol a été joué, vous trinquez ensemble (3 gorgées chacun).",015/100
Card Polnareff  requiem,Jean-Pierre Polnareff,Chariot Requiem,"Toutes les gorgées sont inversées. Tu donnes tes gorgées à la personne à ta droite.
La carte est révélée à la fin du tour.",017/100
Card Ringo,Ringo Roadagain,Mandom,"Désigne un joueur. Duel de gorgées : chacun boit à son rythme. Le premier à craquer perd et boit 4 gorgées._x000d_
“Un duel, à l’ancienne.”
Si Johnny ou Gyro est en jeu, leur Spin annule ta victoire.",059/100
Card Rohan Kishibe,Rohan Kishibe,Heaven’s Door,"Tu peux échanger toutes les cartes tirées entre les joueurs.
Réécris l’histoire du jeu.",014/100
Card Sandman,Sandman,In a Silent Way,"Tu dois aller pisser, si personne ne comprend que tu es Sandman : distribue 5 gorgées. Sinon c’est pour toi
“Je ne cours plus. J’avance vers mon destin.”",062/100
Card Scolippi,Scolippi,Rolling Stones,"Désigne un joueur. Place cette carte devant lui. Il doit boire 2 gorgées tous les tours.
Il ne peut pas la défausser, ni la donner, ni s’en protéger.
Si Bucciarati est en jeu : il absorbe la pierre et récupère le malus.",067/100
Card Stray cat,Tama,Stray Cat,"Puff un peu tu maîtrises la puff.
Puff un petit coup et fait des bulles.",056/100
Card Super fly,Toyohiro Kanedaichi,Super Fly,"Bois une gorgée = donne une gorgée.
Pour chaque gorgée que tu bois, distribue-en une à un joueur.",053/100
Card The hand,Okuyasu Nijimura,The Hand,"Efface un effet ou une carte déjà jouée ce tour.
Révélez votre carte à la fin du tour.",021/100
Card Vanilla Ice,Vanilla Ice,Cream,"Choisis un joueur et disparais tous les deux jusqu’au prochain tour._x000d_Aucun effet ne peut vous cibler._x000d_À votre retour : Celui avec la carte la plus violente gagne. L’autre boit cul sec.
Si Abdul est en jeu : tu distribue un cul sec.",045/100
Card Yoshikage Kira,Yoshikage Kira,Killer Queen,Le prochain qui s’allume une garo se mange un cul sec.,065/100
Card Yoshikage Kira full art,,,"Tu actives bites the dust sur un joueur : 
à chaque tour, il doit distribuer 4 gorgées... mais en payer le prix avec 2 jusqu’à ce que tu désactives la carte.
Le sort se répète… encore et encore.",
Card dio,Dio Brando,The World,"Si Jotaro est en jeu : le temps s’arrête. Tous les autres doivent se figer – sinon, cul sec. Duel avec Jotaro : le plus rapide à boire gagne.
Si Jotaro n’est pas en jeu : choisis un joueur, il boit cul sec.",002/100
Card dio full art,,,"« ZA WARUDO ! Toki wo tomare… »
Dio arrête le temps. Profites-en pour remplir le verre de chaque joueur avec les mélanges de ton choix. Quand le temps reprend son cours… tout le monde boit cul sec",
Card dio jotaro full art,,,"Choisis un joueur._x000d_Vous vous regardez. Vous ne bougez plus._x000d_Puis vous vous balancez 2 culs secs chacun, sans pitié.
Si DIO et Jotaro ont été joués auparavant :_x000d_Tous les joueurs rejouent leur dernier effet._x000d_
Le temps s’effondre sur lui-même.",
Card jotaro,Jotaro Joestar,Star Platinum,"Si Dio est en jeu : le temps s’arrête. Tous les autres joueurs doivent se figer – bouger = cul sec. Duel avec Dio : le plus rapide à boire son verre gagne.
Si Dio n’est pas en jeu : choisis un joueur, il boit cul sec.",001/100
Card milargo man,Carte Maudite,Milagro Man,"Tente de refourguer cette carte discrètement à un autre joueur._x000d_
Celui qui a Milagro Man en main à la fin de la partie doit s’avoiner 2 culs secs.
“Tu gagnes de l’argent… mais tu ne peux jamais t’en débarrasser.”",013/100
Card moody blue,Leone Abbacchio,Moody blue,"C’est reparti ! Tu dois reboire les mêmes gorgées qu’au dernier tour.
Si Bucciarati a été joué plus tôt, tu peux rejouer n’importe quel effet d’un tour précédent, sur qui tu veux.",037/100
Card morioh - point d'interet 1,Rocher Angelo,Point de repère - Morioh,"Tu as été piégé dans la pierre._x000d_
Tu ne peux plus distribuer de gorgées au prochain tour. Si tu le fais quand même, c’est cul sec direct._x000d_
“Je suis toujours là. Je regarde.”",072/100
Card morioh - point d'interet 2,Cap Boiiing,Point de repère - Morioh,"Prends une mini lichette, juste pour te rappeler le goût de ta mixture.
On rêve tous d’une maison au bord de la mer. Regarde les joueurs : lequel d’entre eux est le plus ver de terre ?",073/100
Card morioh - point d'interet 3,Trattoria de Trussardi,Point de repère - Morioh,"T’as une petite faim ? Mange-toi 4 gorgées.
Distribue 4 gorgées.
Ça te soigne de l’intérieur. Mais pas de l’extérieur.",074/100
Card morioh - point d'interet 4,Morioh Grand Hotel,Point de repère - Morioh,"Tu prends 2 gorgées.
Distribue 2 gorgées.
Ah tié chanceux toi.",075/100
Card morioh - point d'interet 5,Maison de Rohan Kishibe,Point de repère - Morioh,"Rappelle-toi que ce jeu a été entièrement réalisé par Zorzi, Nappau et Candyboy.
Distribue 4 gorgées.
Tu peux les remercier.",076/100
Card morioh - point d'interet 6,Allée de la fille fantôme,Point de repère - Morioh,"Si t’as fait une crasse à quelqu’un ce soir, bois 3 gorgées et repense-y bien.
Les morts observent toujours les vivants.",077/100
Card morioh - point d'interet 7,St. Gentlemen,Point de repère - Morioh,"Distribue 3 gorgées.
De rien.",078/100
Card morioh - point d'interet 8,Tunnel Futatsumori,Point de repère - Morioh,"Tu ressembles à un bus, distribue 4 gorgées.
Es-tu payoyo ?",079/100
Card morioh - point d'interet 9,Le pylône,Point de repère - Morioh,"Distribue 4 gorgées.
De rien.",080/100
Card morioh part 8 - point d'interet 1,Murs qui voient,Point de repère - Morioh,"Tu désignes un joueur._x000d_Au prochain tour il doit montrer sa carte à tout le monde._x000d_
Il ne peut rien cacher. Pas même sa honte.
“Les murs de Morioh ont tout vu. Et ils se souviennent.”",081/100
Card morioh part 8 - point d'interet 2,Maison des Higashikata,Point de repère - Morioh,"3 gorgées.
Si t’as des chaussettes différentes, c’est cul sec, fdp.",082/100
Card part 5 full art,,,"Toi et 2 joueurs de ton choix formez une alliance._x000d_Pendant 3 tours, vous êtes invincibles à tous les effets._x000d_Mais à la fin de cette période, vous devez tous vomir ou faire un cul sec d’équipe.
Si Yoshikage Kira a été joué dans la partie : il peut choisir d’exploser un des alliés au hasard",
Card red hot,Akira Otoishi,Red Hot Chili Pepper,"Mettre la puff à charger.
Pas obligé si la puff est déjà chargée.",057/100
Card weather report,Weather Report,Weather Report,"Tous les joueurs boivent 2 gorgées. En silence._x000d_
“L’atmosphère est devenue étrange.”
Si Pucci a été tiré, l’effet est annulé.",047/100
Card wonder of u,Tooru,Wonder of U,"Les gorgées qu’on vous donne sont renvoyé facteur 4.
Révélez votre carte à la fin du tour.",011/100
